2012-05-09 18:14:19,253 | [17] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SaveProfilePrinciple","Id":18,"Code":"PROF-2","Success":true,"Message":"Save Profile Principle Completed."};
2012-05-09 18:14:20,299 | [12] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchAll","Type":"ALL","Code":"","Name":"","Status":"ALL","EffectiveDateSt":"09/05/2012","CreateDateSt":"09/05/2012","ElapsedMilliseconds":936};
2012-05-09 18:14:43,074 | [17] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchAll","Type":"ALL","Code":"","Name":"","Status":"ALL","EffectiveDateSt":"09/05/2012","CreateDateSt":"09/05/2012","ElapsedMilliseconds":1399};
2012-05-09 18:14:44,777 | [19] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchAll","Type":"ALL","Code":"","Name":"","Status":"ALL","EffectiveDateSt":"09/05/2012","CreateDateSt":"09/05/2012","ElapsedMilliseconds":823};
2012-05-09 18:15:04,708 | [11] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchAll","Type":"ALL","Code":"","Name":"","Status":"ALL","EffectiveDateSt":"","CreateDateSt":"","ElapsedMilliseconds":751};
2012-05-09 18:28:26,743 | [8] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-05-09 18:28:26,758 | [13] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-05-09 18:28:38,100 | [4] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchAll","Type":"ALL","Code":"","Name":"","Status":"ALL","EffectiveDateSt":"","CreateDateSt":"","ElapsedMilliseconds":11601};
2012-05-09 18:31:27,460 | [9] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchAll","Type":"ALL","Code":"","Name":"","Status":"ALL","EffectiveDateSt":"","CreateDateSt":"","ElapsedMilliseconds":3648};
2012-05-09 18:31:44,965 | [9] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SaveProfilePrinciple","Id":0,"Code":"PROF-5","Success":true,"Message":"Save Profile Principle Completed."};
2012-05-09 18:31:45,965 | [7] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchAll","Type":"ALL","Code":"","Name":"","Status":"ALL","EffectiveDateSt":"","CreateDateSt":"","ElapsedMilliseconds":888};
